id	title	description	price	photo	category
3001	MSI GeForce GT710, 1Gb 	MSI	1 150,00	https://raw.githubusercontent.com/AleksPika/lsacomp/master/img/vc/vc3001.jpg	Видеокарта
3002	Gigabyte GeForce GT710, 2Gb	Gigabyte	1 500,00	https://raw.githubusercontent.com/AleksPika/lsacomp/master/img/vc/vc3002.jpg	Видеокарта
3003	MSI GeForce GT1030 Aero ITX, 2Gb	MSI	2 300,00	https://raw.githubusercontent.com/AleksPika/lsacomp/master/img/vc/vc3003.jpg	Видеокарта
3004	Asus GeForce GT1030, 2Gb	Asus	2 400,00	https://raw.githubusercontent.com/AleksPika/lsacomp/master/img/vc/vc3004.jpg	Видеокарта
3005	MSI Radeon RX 550 Aero ITX, 2Gb	MSI	3 000,00	https://raw.githubusercontent.com/AleksPika/lsacomp/master/img/vc/vc3005.jpg	Видеокарта
3006	MSI Radeon RX 570 Armor OC	MSI	4 400,00	https://raw.githubusercontent.com/AleksPika/lsacomp/master/img/vc/vc3006.jpg	Видеокарта
3007	Asus GeForce GTX 1650 Strix Advanced Edition	Asus	5 200,00	https://raw.githubusercontent.com/AleksPika/lsacomp/master/img/vc/vc3007.jpg	Видеокарта
3008	Gigabyte GeForce GTX 1060 3GB GDDR5 192-bit Mini ITX	Gigabyte	6 100,00	https://raw.githubusercontent.com/AleksPika/lsacomp/master/img/vc/vc3008.jpg	Видеокарта
3009	Palit GeForce GTX 1660 Dual OC, 6Gb	Palit	7 400,00	https://raw.githubusercontent.com/AleksPika/lsacomp/master/img/vc/vo3009.jpg	Видеокарта
3010	Asus GeForce GTX 1660 6GB GDDR5 192-bit TUF Gaming X3 OC	Asus	8 100,00	https://raw.githubusercontent.com/AleksPika/lsacomp/master/img/vc/vc3010.jpg	Видеокарта
3011	MSI GeForce RTX 2060 6GB GDDR6 192-bit Gaming	MSI	12 100,00	https://raw.githubusercontent.com/AleksPika/lsacomp/master/img/vc/vc3011.jpg	Видеокарта
3012	Palit GeForce RTX 2080 8GB GDDR6 256-bit Super JetStream	Palit	21 000,00	https://raw.githubusercontent.com/AleksPika/lsacomp/master/img/vc/vc3012.jpg	Видеокарта
1001	ASRock FM2A68M-DG3+	ASRock	1 100,00	https://raw.githubusercontent.com/AleksPika/lsacomp/master/img/mab/mab1001.jpg	Материнская плата
1002	MSI A68HM-E33 V2 	MSI	1 150,00	https://raw.githubusercontent.com/AleksPika/lsacomp/master/img/mab/mab1002.jpg	Материнская плата
1003	Gigabyte GA-F2A68HM-S1	Gigabyte	1 200,00	https://raw.githubusercontent.com/AleksPika/lsacomp/master/img/mab/mab1003.jpg	Материнская плата
1004	Gigabyte GA-E2500N	Gigabyte	1 250,00	https://raw.githubusercontent.com/AleksPika/lsacomp/master/img/mab/mab1004.jpg	Материнская плата
1005	Asus M5A78L-M LX3	Asus	1 300,00	https://raw.githubusercontent.com/AleksPika/lsacomp/master/img/mab/mab1005.jpg	Материнская плата
1006	ASRock H110M-DGS R3.0	ASRock	1 350,00	https://raw.githubusercontent.com/AleksPika/lsacomp/master/img/mab/mab1006.jpg	Материнская плата
1007	Gigabyte GA-A320M-H	Gigabyte	1 400,00	https://raw.githubusercontent.com/AleksPika/lsacomp/master/img/mab/mab1007.jpg	Материнская плата
1008	Asus H110M-K	Asus	1 500,00	https://raw.githubusercontent.com/AleksPika/lsacomp/master/img/mab/mab1008.jpg	Материнская плата
1009	MSI B450M-A Pro Max	MSI	2 000,00	https://raw.githubusercontent.com/AleksPika/lsacomp/master/img/mab/mab1009.jpg	Материнская плата
1010	Asus Prime A320M-A	Asus	2 100,00	https://raw.githubusercontent.com/AleksPika/lsacomp/master/img/mab/mab1010.jpg	Материнская плата
1011	Gigabyte H310 D3 2.0	Gigabyte	2 150,00	https://raw.githubusercontent.com/AleksPika/lsacomp/master/img/mab/mab1011.jpg	Материнская плата
